District,State_UT,NFHS_Households_Surveyed,Female_6plus_Ever_Attended_School_pct,Population_Below_15_pct,Sex_Ratio_Females_per_1000_Males,Households_Electricity_pct,Improved_Drinking_Water_pct,Improved_Sanitation_pct,Clean_Cooking_Fuel_pct,Health_Insurance_Coverage_pct,Women_15_49_Literate_pct,ANC_4plus_pct,Institutional_Births_pct,Skilled_Birth_Attendance_pct,Fully_Vaccinated_12_23m_pct,Diarrhoea_Taken_to_Health_Facility_pct,ARI_Taken_to_Health_Facility_pct,Under5_Stunted_pct,Children_6_59m_Anaemic_pct,Population_2011,Rural_Population_2011,Sub_Centres,PHCs,CHCs,Sub_Divisional_Hospitals,District_Hospitals,PHCs_per_100k_rural,CHCs_per_100k_rural,SubCentres_per_100k_rural,PHC_coverage_vs_general_norm,CHC_coverage_vs_general_norm,District_Match_Score,District_Match_Method
Srikakulam,Andhra Pradesh,874,59.99,20.71,1139.51,99.91,87.73,71.58,74.7,75.63,64.32,78.41,97.94,96.38,,,,19.66,59.61,2703114,2266411,850,99,13,4,2,4.368139759293438,0.5735941098062091,37.50423025655982,1.3104419277880317,0.6883129317674509,100.0,Exact
Vizianagaram,Andhra Pradesh,902,55.95,20.56,1114.35,99.52,93.1,61.74,60.3,76.69,58.32,71.35,99.01,97.61,,,,36.4,66.74,2344474,1853563,673,88,8,3,2,4.747613110533605,0.4316011918666913,36.30845026578541,1.4242839331600814,0.5179214302400297,100.0,Exact
Visakhapatnam,Andhra Pradesh,869,66.76,21.35,1066.43,99.57,91.78,77.77,72.87,64.92,69.54,58.59,95.25,94.35,,,,30.96,72.61,4290589,2254667,808,163,10,4,2,7.229448960755623,0.4435244761199768,35.836777670494136,2.168834688226687,0.5322293713439723,96.2962962962963,Fuzzy
East Godavari,Andhra Pradesh,888,75.39,20.45,995.49,98.82,97.88,77.73,80.34,66.36,77.87,50.95,96.63,89.85,,,,23.11,66.76,5154296,3840324,1288,163,25,4,1,4.244433542586511,0.6509867396605078,33.53883682730936,1.2733300627759534,0.7811840875926095,100.0,Exact
West Godavari,Andhra Pradesh,884,75.4,21.48,998.55,99.34,99.07,80.78,86.83,67.57,76.97,62.73,98.7,98.47,,,,31.44,62.34,3936966,3128189,940,128,10,6,1,4.091824375061737,0.3196737793016982,30.04933525435963,1.2275473125185212,0.3836085351620378,100.0,Exact
Krishna,Andhra Pradesh,865,74.02,20.44,1063.63,99.55,94.38,79.14,89.82,68.08,76.85,73.3,98.93,98.03,,,,29.84,65.7,4517398,2673738,855,152,13,2,1,5.684925000130903,0.4862106908006693,31.977703125736326,1.7054775000392708,0.5834528289608032,100.0,Exact
Guntur,Andhra Pradesh,851,64.88,22.41,1055.16,99.19,99.25,83.44,91.65,71.08,68.48,62.47,98.61,95.54,,,,23.82,59.28,4887813,3235075,885,163,17,3,1,5.0385230636074905,0.5254901354682657,27.35639822878913,1.511556919082247,0.630588162561919,100.0,Exact
Prakasam,Andhra Pradesh,821,58.13,23.08,1010.57,99.27,98.57,78.43,90.78,67.58,62.83,73.4,97.4,97.92,,,,22.56,62.61,3397448,2732866,911,115,13,4,1,4.208036544784852,0.4756910876713311,33.334967759121746,1.2624109634354557,0.5708293052055974,100.0,Exact
Y.S.R.,Andhra Pradesh,910,61.9,24.1,1058.05,99.75,99.85,85.35,94.25,73.34,63.76,82.75,99.43,100.0,82.99,,60.32,34.43,60.6,2882469,1903337,681,110,9,4,1,5.779323367328014,0.4728537300541102,35.779265574094346,1.7337970101984042,0.5674244760649323,100.0,Exact
Kurnool,Andhra Pradesh,870,55.23,25.91,1044.64,99.88,97.88,73.48,78.08,73.32,56.97,74.25,88.52,90.55,67.04,,73.11,50.53,70.75,4053463,2904177,926,131,17,4,1,4.510744352014357,0.5853637708720921,31.885108931032786,1.3532233056043073,0.7024365250465107,100.0,Exact
Anantapur,Andhra Pradesh,882,59.45,24.26,1047.36,99.61,98.8,71.25,86.42,73.24,63.55,66.61,94.7,98.33,,,,35.96,55.75,4081148,2935437,910,129,15,6,1,4.394575662839979,0.510997170097672,31.000494985925435,1.3183726988519937,0.6131966041172064,100.0,Exact
Chittoor,Andhra Pradesh,865,65.63,22.59,1024.32,99.74,98.46,74.62,86.63,70.66,69.32,65.28,97.1,97.55,,,84.37,27.06,54.87,4174064,2942678,1070,136,17,5,2,4.6216405600612775,0.5777050700076597,36.36143675930564,1.3864921680183833,0.6932460840091916,100.0,Exact
Tawang,Arunachal Pradesh,905,59.32,27.33,1062.73,99.72,99.77,81.7,88.1,33.5,59.08,37.61,84.18,89.85,67.53,,,30.37,89.61,49977,38775,12,6,2,0,1,15.473887814313343,5.157962604771115,30.94777562862669,4.642166344294004,6.189555125725339,100.0,Exact
