,Healthcare_Desert_Score
Improved_Sanitation_pct,-0.4159252638708894
Health_Insurance_Coverage_pct,-0.3873778545493931
Women_15_49_Literate_pct,-0.38733130855191106
ANC_4plus_pct,-0.360426041610498
Households_Electricity_pct,-0.2945026707757209
Clean_Cooking_Fuel_pct,-0.2508575490451093
Fully_Vaccinated_12_23m_pct,-0.23683054950740837
Skilled_Birth_Attendance_pct,-0.17944615239402353
Institutional_Births_pct,-0.177524654234974
Sex_Ratio_Females_per_1000_Males,-0.011556364602845896
Improved_Drinking_Water_pct,0.04788188099140643
Children_6_59m_Anaemic_pct,0.2499670508995309
Under5_Stunted_pct,0.3831726555262
Population_Below_15_pct,0.49624623581080807
Healthcare_Desert_Score,1.0
