State_UT,count,mean,median
Bihar,37,84.8628665634211,85.08934072704868
West Bengal,11,78.0989189491962,80.83795440542205
Uttar Pradesh,61,73.35131258648727,76.21688231669746
Jharkhand,22,68.27143897384194,68.9463955637708
NCT of Delhi,6,66.13267611419182,66.11213801601971
Manipur,9,62.87054152118847,70.20948860135552
Tripura,4,57.886629698089955,58.379544054220574
Punjab,17,57.58761915117249,56.37707948243993
Madhya Pradesh,46,56.8860671327922,59.642637091805305
Haryana,18,56.63380570959129,57.11645101663586
Maharastra,30,56.16142945163278,62.35366605052372
Assam,23,53.09009081411235,53.35797905113986
Meghalaya,6,51.81762168823167,50.09242144177449
Chhattisgarh,15,49.357157527212976,43.561306223043744
Karnataka,19,40.93945584849369,45.59457794208256
Odisha,26,40.779183847575716,41.928527418361064
Andhra Pradesh,12,39.57691517765455,37.892791127541585
Tamil Nadu,31,39.23439270168744,34.44239063462724
Gujarat,24,38.111008420620244,34.565619223659894
Sikkim,4,36.7837338262477,34.82747997535429
Chandigarh,1,33.64140480591497,33.64140480591497
Puducherry,1,33.456561922365985,33.456561922365985
Rajasthan,31,26.983085882376326,27.17190388170056
Uttarakhand,12,25.31320599712467,17.560073937153422
Jammu & Kashmir,16,23.771565003080717,21.811460258780038
Kerala,14,22.757679781709356,28.219346888478128
Goa,2,22.088724584103517,22.088724584103517
Arunachal Pradesh,15,18.161840213596225,10.412815773259394
Nagaland,11,17.54607068839971,11.521873074553293
Mizoram,7,15.720447143737346,6.777572396796054
Himachal Pradesh,10,14.103512014787432,13.031423290203328
