State_UT,Districts,Total_PHCs,Total_CHCs,Total_Sub_Centres,Avg_PHC_per_100k,Avg_CHC_per_100k
Andhra Pradesh,12,1577,167,10797,4.909935691583149,0.5044743293105737
Arunachal Pradesh,15,89,39,240,11.376416659102794,5.40071626776968
Assam,23,787,161,3733,3.806852952247257,0.7897525200908414
Bihar,37,1661,293,10016,2.018462367858018,0.3379031257776458
Chandigarh,1,43,2,0,148.3218930012763,6.898692697733779
Chhattisgarh,15,510,101,3415,3.7694129191180585,0.7611560169292974
Goa,2,28,6,219,5.3072693172342165,1.0564322026961799
Gujarat,24,1496,293,7397,4.816162111620887,0.9385010920059061
Haryana,18,408,113,2226,3.1062508497342893,0.8233371632163977
Himachal Pradesh,10,507,89,1902,11.025764700736854,1.8603439768347514
Jammu & Kashmir,16,816,62,2070,34.85870893324684,1.12568970186507
Jharkhand,22,341,168,3647,1.469423092773615,0.7586758692813995
Karnataka,19,1305,116,5148,6.346997923190892,0.5650835266783236
Kerala,14,944,230,5412,5.692152071750051,1.3731732686741613
Madhya Pradesh,46,1424,324,9405,3.0993637626860617,0.6986640495969612
Maharastra,32,2286,360,9451,3.8200350144354625,0.6384714102671746
Manipur,9,69,10,298,3.5495150928245938,0.5367530049025333
Meghalaya,6,102,18,279,5.032886913353021,0.8661316726372498
Mizoram,7,48,7,291,10.624272878603453,1.6672845993087944
NCT of Delhi,8,393,0,2,416.7218961152366,0.0
Nagaland,11,133,23,433,9.424923031344001,1.6080960672821105
Odisha,26,1312,356,6318,4.095480000766244,1.1225401319601258
Puducherry,3,12,2,25,10.771641206423816,0.9792401096748922
Punjab,17,425,134,2450,2.7738723355040644,0.8734488886660469
Rajasthan,31,2324,652,12972,4.694407710277729,1.3509168029733645
Sikkim,4,26,2,153,6.969047387157223,0.3541507658081453
Tamil Nadu,32,1681,355,7680,4.833553303140984,1.0452566926623705
Tripura,4,70,14,539,2.956335881370396,0.5599327529036963
Uttar Pradesh,61,3007,706,17558,2.4334031744548996,0.5372414854709257
Uttarakhand,12,513,67,1626,9.569704896881776,1.118038594175107
West Bengal,12,721,190,5583,1.5239562878553146,0.504328412669426
