State_UT,High Risk,Low Risk,Medium Risk,Total,High_Risk_Pct
Bihar,37,0,0,37,100.0
NCT of Delhi,6,0,0,6,100.0
West Bengal,10,0,1,11,90.9090909090909
Uttar Pradesh,49,2,10,61,80.32786885245902
Manipur,5,2,2,9,55.55555555555556
Jharkhand,12,0,10,22,54.54545454545454
Maharastra,14,2,14,30,46.666666666666664
Meghalaya,2,1,3,6,33.33333333333333
Madhya Pradesh,15,4,27,46,32.608695652173914
Chhattisgarh,4,6,5,15,26.666666666666668
Assam,6,4,13,23,26.08695652173913
Tripura,1,1,2,4,25.0
Punjab,3,0,14,17,17.647058823529413
Haryana,3,0,15,18,16.666666666666664
Gujarat,4,14,6,24,16.666666666666664
Tamil Nadu,5,17,9,31,16.129032258064516
Uttarakhand,1,9,2,12,8.333333333333332
Karnataka,1,7,11,19,5.263157894736842
Odisha,1,11,14,26,3.8461538461538463
Arunachal Pradesh,0,12,3,15,0.0
Andhra Pradesh,0,4,8,12,0.0
Chandigarh,0,1,0,1,0.0
Goa,0,2,0,2,0.0
Kerala,0,12,2,14,0.0
Jammu & Kashmir,0,13,3,16,0.0
Himachal Pradesh,0,10,0,10,0.0
Mizoram,0,5,2,7,0.0
Puducherry,0,1,0,1,0.0
Nagaland,0,9,2,11,0.0
Sikkim,0,3,1,4,0.0
Rajasthan,0,27,4,31,0.0
