District,State_UT,Healthcare_Desert_Score,Healthcare_Desert_Risk,PHCs_per_100k_rural,CHCs_per_100k_rural,SubCentres_per_100k_rural
Firozpur,Punjab,95.25569932224278,High Risk,1.2868112681321866,0.2709076353962498,8.26268287958562
Araria,Bihar,94.94762784966112,High Risk,1.4757120499835024,0.2270326230743849,8.362368283239846
Supaul,Bihar,94.76278496611214,High Risk,1.365658308523874,0.2825499948670084,8.146858185332077
Jalpaiguri,West Bengal,94.63955637707949,High Risk,0.9600017066697006,0.2488893313588113,10.702241248428887
Senapati,Manipur,94.39309919901416,High Risk,1.6960938957580691,0.2120117369697586,6.7843755830322765
Surguja,Chhattisgarh,93.90018484288356,High Risk,1.322648225171413,0.2834246196795885,9.636437069106009
Vaishali,Bihar,93.83857054836722,High Risk,1.5021726321314113,0.1532829216460624,10.30061233461539
Samastipur,Bihar,93.77695625385088,High Risk,1.4342079003463732,0.2917033017653641,8.702481836000029
Sultanpur,Uttar Pradesh,93.3456561922366,High Risk,1.250972631220774,0.3891914852686853,6.838650384006899
Muzaffarnagar,Uttar Pradesh,93.28404189772029,High Risk,1.5920330600907795,0.237111306822031,9.687690535871551
Moradabad,Uttar Pradesh,93.22242760320394,High Risk,1.7508847439471755,0.2188605929933969,8.09784194075569
Sitamarhi,Bihar,92.667898952557,High Risk,1.3918633524235124,0.4020938573667925,6.433501717868681
Gopalganj,Bihar,92.483056069008,High Risk,1.2504131573474069,0.416804385782469,7.877602891288663
Darbhanga,Bihar,92.17498459642638,High Risk,1.772622104822742,0.2813685880671019,7.287446430937939
Vellore,Tamil Nadu,91.49722735674676,High Risk,1.7454787624466064,0.3132910599263139,7.966544095269126
Sonitpur,Assam,91.43561306223044,High Risk,1.656891956360894,0.3428052323505298,8.341593987196225
Kancheepuram,Tamil Nadu,90.8810844115835,High Risk,1.575433107110272,0.3424854580674504,9.795084100729085
Raipur,Chhattisgarh,90.81947011706716,High Risk,1.3562826694588006,0.3875093341310859,10.656506688604862
Rohtas,Bihar,90.69624152803448,High Risk,1.8956200513949988,0.2369525064243748,10.07048152303593
Palamu,Jharkhand,90.4497843499692,High Risk,1.400342850607924,0.4084333314273111,9.977442810581458
