District,State_UT,Healthcare_Desert_Score,Healthcare_Desert_Risk,PHCs_per_100k_rural,CHCs_per_100k_rural,SubCentres_per_100k_rural
Srinagar,Jammu & Kashmir,0.4313000616142963,Low Risk,398.5444463697799,5.776006469127245,144.40016172818113
Serchhip,Mizoram,1.78681454097351,Low Risk,15.189258156631633,3.037851631326326,88.09769730846345
Papum Pare,Arunachal Pradesh,1.91004313000616,Low Risk,21.354101243562365,5.024494410249969,46.476573294812205
Aizawl,Mizoram,1.91004313000616,Low Risk,14.026065104318858,3.5065162760797146,78.31219683244697
Anjaw,Arunachal Pradesh,2.0332717190388205,Low Risk,29.72504334902155,19.816695566014367,39.633391132028734
Kinnaur,Himachal Pradesh,2.341343191620456,Low Risk,29.719095112992,4.75505521807872,41.6067331581888
Kolasib,Mizoram,2.4645717806531096,Low Risk,13.485449200312862,2.6970898400625725,75.51851552175202
Kanniyakumari,Tamil Nadu,3.142329020332716,Low Risk,11.495226455961182,2.722553634306596,80.76909115109568
Shimla,Himachal Pradesh,3.14232902033272,Low Risk,18.607414565035363,2.774789891277204,39.98961902134793
Phek,Nagaland,4.805914972273565,Low Risk,15.845235265731798,2.880951866496691,35.29166036458446
Mokokchung,Nagaland,4.805914972273569,Low Risk,12.239285225742815,2.1598738633663794,39.59768749505029
Zunheboto,Nagaland,5.298829328404187,Low Risk,11.488158359844467,1.7674089784376106,41.534110993283846
Thrissur,Kerala,5.914972273567468,Low Risk,8.391930475783425,2.3419340862651423,45.960456442953415
Upper Siang,Arunachal Pradesh,6.654343807763404,Low Risk,6.949270326615705,13.89854065323141,45.17025712300209
Dima Hasao,Assam,6.715958102279728,Low Risk,7.914888564964746,1.9787221412411864,50.12762757811006
Mamit,Mizoram,6.777572396796054,Low Risk,11.194290911635068,1.399286363954383,54.57216819422095
Tawang,Arunachal Pradesh,6.7775723967960575,Low Risk,15.473887814313343,5.157962604771115,30.94777562862669
Tehri Garhwal,Uttarakhand,6.900800985828711,Low Risk,9.839793582996837,2.004402396536393,37.901427134506335
Ernakulam,Kerala,6.962415280345039,Low Risk,8.587581403115383,2.290021707497436,39.121204169747855
Almora,Uttarakhand,7.332101047443011,Low Risk,11.603164629269964,1.6065920255912258,36.23757568833543
